Date,Open,High,Low,Close,Adj Close,Volume
2016-06-22,74.309998,74.440002,73.750000,73.790001,59.831207,1795600
2016-06-23,73.800003,73.949997,73.470001,73.949997,59.960934,1412600
2016-06-24,73.529999,74.830002,73.379997,74.169998,60.139320,4332900
2016-06-27,73.900002,75.099998,73.800003,74.949997,60.771767,3362700
2016-06-28,74.769997,76.440002,74.320000,76.440002,61.979900,5903800
2016-06-29,76.639999,76.800003,76.019997,76.410004,61.955578,2847700
2016-06-30,76.650002,77.930000,76.470001,77.930000,63.188038,3348200
2016-07-01,78.059998,78.180000,77.070000,77.860001,63.131290,2212300
2016-07-05,78.000000,78.519997,77.870003,78.449997,63.609669,2470200
2016-07-06,78.449997,78.970001,78.040001,78.919998,63.990768,2949100
2016-07-07,78.720001,78.919998,77.250000,77.470001,62.815063,2572000
2016-07-08,77.410004,78.199997,76.540001,78.190002,63.398857,2259200
2016-07-11,77.690002,78.269997,77.220001,78.150002,63.366428,1831500
2016-07-12,77.669998,78.010002,77.230003,77.410004,62.766396,2060400
2016-07-13,77.900002,77.980003,77.470001,77.769997,63.058300,2352000
2016-07-14,77.300003,77.489998,76.959999,77.139999,62.547485,2250900
2016-07-15,77.300003,77.739998,77.139999,77.529999,62.863716,1926000
2016-07-18,77.660004,78.059998,77.519997,77.820000,63.098850,1521400
2016-07-19,77.779999,78.089996,77.360001,77.830002,63.106953,1495200
2016-07-20,77.720001,77.989998,77.230003,77.300003,62.677219,1408500
2016-07-21,76.949997,77.660004,76.720001,77.599998,62.920471,1618600
2016-07-22,77.610001,78.599998,77.489998,78.510002,63.658337,1580500
2016-07-25,78.260002,78.620003,77.989998,78.610001,63.739414,1694100
2016-07-26,78.540001,78.620003,77.300003,77.529999,62.863716,2102000
2016-07-27,77.480003,77.480003,76.099998,76.519997,62.044777,2878000
2016-07-28,76.519997,77.169998,76.250000,76.940002,62.385315,2360800
2016-07-29,76.790001,78.220001,76.779999,78.019997,63.261017,3357600
2016-08-01,77.730003,78.080002,77.449997,77.580002,62.904251,1771400
2016-08-02,77.320000,77.580002,76.629997,77.370003,62.733997,2628300
2016-08-03,77.570000,77.930000,76.389999,76.750000,62.231258,2761900
2016-08-04,76.750000,77.330002,76.309998,76.419998,61.963684,2221600
2016-08-05,76.300003,76.300003,75.239998,75.370003,61.112328,2437400
2016-08-08,75.070000,75.650002,74.620003,74.989998,60.804192,2588700
2016-08-09,74.690002,75.010002,74.099998,74.730003,60.593369,7438500
2016-08-10,75.010002,75.360001,74.720001,75.010002,60.820423,5318400
2016-08-11,75.089996,75.559998,74.879997,75.400002,61.136646,3495100
2016-08-12,75.779999,76.639999,75.510002,75.959999,61.590714,3452700
2016-08-15,75.809998,76.330002,74.980003,75.000000,60.812305,1978700
2016-08-16,74.889999,75.080002,74.540001,74.680000,60.552849,4912900
2016-08-17,74.680000,76.680000,74.320000,76.650002,62.150166,4822000
2016-08-18,76.410004,76.860001,76.139999,76.860001,62.320480,4116000
2016-08-19,76.489998,76.629997,75.309998,75.800003,61.460972,3134500
2016-08-22,75.949997,76.580002,75.709999,76.279999,61.850182,2308200
2016-08-23,76.379997,76.779999,75.830002,75.830002,61.485317,2095600
2016-08-24,75.599998,76.220001,75.430000,76.120003,61.720451,2155400
2016-08-25,76.019997,76.559998,75.900002,76.239998,61.817745,2193300
2016-08-26,76.269997,76.889999,74.660004,74.739998,60.601490,3243700
2016-08-29,75.089996,75.690002,75.040001,75.690002,61.371780,3758900
2016-08-30,75.650002,76.019997,74.839996,74.949997,60.771767,2415500
2016-08-31,73.989998,74.339996,73.680000,74.160004,60.698128,3448800
2016-09-01,74.180000,74.339996,73.779999,74.059998,60.616249,2144200
2016-09-02,74.050003,75.089996,74.000000,74.750000,61.181004,1794900
2016-09-06,75.209999,75.820000,74.970001,75.500000,61.794865,2477400
2016-09-07,75.320000,75.660004,75.050003,75.389999,61.704838,1662500
2016-09-08,75.180000,75.589996,74.889999,75.510002,61.803059,2603900
2016-09-09,74.900002,74.959999,72.489998,72.500000,59.339424,2994900
2016-09-12,72.570000,74.220001,72.550003,74.050003,60.608078,3193800
2016-09-13,73.860001,74.029999,73.160004,73.519997,60.174278,3079100
2016-09-14,73.660004,74.410004,73.419998,73.790001,60.395271,1812000
2016-09-15,73.860001,74.620003,73.559998,74.449997,60.935459,2145100
2016-09-16,74.250000,75.300003,73.949997,75.059998,61.434727,4744400
2016-09-19,75.120003,75.930000,75.029999,75.900002,62.122242,2133300
2016-09-20,76.250000,76.360001,75.610001,75.629997,61.901249,2431600
2016-09-21,75.750000,76.779999,75.379997,76.750000,62.817951,2784400
2016-09-22,77.000000,77.320000,76.519997,77.040001,63.055302,2083100
2016-09-23,76.839996,77.239998,76.220001,77.010002,63.030766,2050600
2016-09-26,77.029999,77.220001,76.400002,76.599998,62.695187,2521700
2016-09-27,76.900002,77.250000,75.639999,75.779999,62.024040,2936900
2016-09-28,75.980003,76.110001,75.080002,75.839996,62.073143,2036800
2016-09-29,75.839996,75.949997,74.489998,74.750000,61.181004,2446500
2016-09-30,75.099998,75.320000,73.830002,74.269997,60.788132,3153600
2016-10-03,74.209999,74.209999,72.879997,73.279999,59.977852,2487600
2016-10-04,73.080002,73.099998,71.699997,72.150002,59.052975,3177500
2016-10-05,72.199997,72.639999,71.320000,71.879997,58.831974,3053100
2016-10-06,71.629997,72.279999,71.349998,71.910004,58.856537,2105900
2016-10-07,72.400002,73.099998,71.410004,71.500000,58.520966,1882800
2016-10-10,71.599998,72.309998,71.389999,72.220001,59.110271,1827600
2016-10-11,72.199997,72.279999,71.440002,71.690002,58.676476,2573300
2016-10-12,71.720001,72.339996,71.690002,72.160004,59.061165,1541200
2016-10-13,72.160004,73.879997,72.089996,73.309998,60.002403,3113600
2016-10-14,73.160004,73.470001,72.699997,72.779999,59.568615,1694100
2016-10-17,73.029999,73.300003,72.529999,72.830002,59.609543,1613700
2016-10-18,73.320000,73.720001,72.650002,73.370003,60.051525,1641800
2016-10-19,73.400002,73.510002,72.830002,73.209999,59.920555,1763300
2016-10-20,73.279999,73.470001,73.010002,73.110001,59.838696,1313800
2016-10-21,72.660004,73.059998,72.430000,72.839996,59.617710,1510800
2016-10-24,73.129997,73.349998,72.529999,73.120003,59.846874,2433000
2016-10-25,73.120003,73.459999,72.800003,73.400002,60.076077,2079400
2016-10-26,73.290001,73.930000,72.889999,73.830002,60.428020,1685600
2016-10-27,73.430000,73.800003,72.809998,73.300003,59.994213,1772500
2016-10-28,73.379997,73.779999,72.989998,73.489998,60.149723,1767700
2016-10-31,73.980003,75.910004,73.610001,75.199997,61.549305,4056600
2016-11-01,75.029999,75.150002,74.199997,74.459999,60.943634,2576000
2016-11-02,74.480003,74.529999,72.870003,74.099998,60.648991,2944400
2016-11-03,73.910004,74.559998,73.480003,74.349998,60.853622,1837900
2016-11-04,74.639999,75.169998,73.790001,73.790001,60.395271,2638100
