Date,Open,High,Low,Close,Adj Close,Volume
2016-06-22,241.080002,241.240005,238.050003,240.130005,200.183762,866500
2016-06-23,241.800003,243.869995,240.220001,241.000000,200.909042,894800
2016-06-24,234.979996,245.399994,234.979996,241.320007,201.175797,1362600
2016-06-27,240.589996,251.320007,240.479996,250.210007,208.586945,1454000
2016-06-28,251.000000,254.190002,250.149994,253.139999,211.029510,970900
2016-06-29,254.059998,256.799988,252.809998,254.009995,211.754791,696400
2016-06-30,254.339996,255.729996,251.669998,255.589996,213.071945,880100
2016-07-01,256.540009,256.980011,251.750000,253.839996,211.613052,656700
2016-07-05,253.710007,260.000000,253.710007,259.739990,216.531601,1009000
2016-07-06,259.329987,260.829987,257.309998,258.130005,215.189407,946200
2016-07-07,257.390015,257.390015,252.350006,253.779999,211.563065,703300
2016-07-08,254.690002,257.709991,253.770004,257.339996,214.530823,912800
2016-07-11,258.119995,258.690002,254.630005,256.559998,213.880569,652300
2016-07-12,256.489990,257.700012,253.029999,255.800003,213.247025,625700
2016-07-13,256.549988,257.029999,254.830002,256.450012,213.788895,672600
2016-07-14,257.390015,257.390015,252.070007,254.070007,211.804810,636600
2016-07-15,254.070007,254.419998,250.389999,251.619995,209.762375,662200
2016-07-18,252.279999,252.600006,250.229996,251.250000,209.453918,716700
2016-07-19,251.660004,252.179993,248.960007,252.139999,210.195877,714700
2016-07-20,252.259995,252.470001,250.770004,251.919998,210.012451,379500
2016-07-21,251.699997,251.789993,249.750000,251.649994,209.787354,659500
2016-07-22,251.770004,255.210007,251.130005,253.740005,211.529739,636800
2016-07-25,254.440002,255.169998,249.899994,251.960007,210.045792,417500
2016-07-26,251.660004,252.210007,249.270004,250.429993,208.770340,593600
2016-07-27,250.229996,250.229996,245.699997,248.179993,206.894592,914700
2016-07-28,244.750000,244.750000,236.300003,238.619995,198.924957,1647000
2016-07-29,238.509995,243.940002,238.059998,238.919998,199.175079,1365100
2016-08-01,238.779999,239.300003,236.300003,238.970001,199.216736,933300
2016-08-02,237.610001,237.960007,233.630005,234.350006,195.365295,900500
2016-08-03,234.630005,234.630005,231.190002,233.449997,194.614990,1073400
2016-08-04,233.559998,233.559998,228.940002,230.550003,192.197418,1145000
2016-08-05,230.789993,234.610001,229.110001,232.759995,194.039795,964600
2016-08-08,232.500000,234.089996,230.139999,230.500000,192.155746,816600
2016-08-09,230.220001,232.630005,228.500000,231.839996,193.272842,731800
2016-08-10,231.479996,232.820007,231.100006,232.270004,193.631317,847700
2016-08-11,231.289993,232.960007,229.000000,230.830002,192.430878,833100
2016-08-12,230.850006,233.389999,229.559998,230.169998,191.880661,525600
2016-08-15,230.419998,230.800003,228.350006,229.089996,190.980301,686700
2016-08-16,228.210007,228.800003,226.550003,227.539993,189.688110,544200
2016-08-17,228.119995,228.899994,226.210007,227.899994,189.988251,645400
2016-08-18,227.889999,228.000000,225.309998,226.740005,189.021255,544700
2016-08-19,225.960007,226.669998,222.820007,224.029999,186.762009,1224300
2016-08-22,224.869995,227.059998,224.029999,226.779999,189.054565,786100
2016-08-23,227.520004,227.679993,226.220001,226.509995,188.829468,683200
2016-08-24,226.490005,226.500000,223.080002,223.929993,186.678696,757900
2016-08-25,224.440002,228.160004,224.350006,225.740005,188.187546,688900
2016-08-26,225.820007,227.270004,221.509995,224.000000,186.737030,655600
2016-08-29,224.589996,226.339996,223.899994,225.740005,188.187546,629500
2016-08-30,225.940002,226.119995,221.820007,223.770004,186.545303,729700
2016-08-31,223.649994,226.080002,222.360001,223.940002,186.686996,1004200
2016-09-01,224.250000,228.130005,223.429993,226.110001,188.496017,770300
2016-09-02,226.100006,229.190002,224.570007,226.789993,189.062881,665300
2016-09-06,226.660004,226.660004,221.500000,224.369995,187.045502,1208700
2016-09-07,224.309998,226.529999,223.449997,225.929993,188.345963,728400
2016-09-08,225.100006,225.360001,222.529999,223.000000,185.903381,1401200
2016-09-09,221.750000,223.139999,218.389999,218.580002,182.218674,1017600
2016-09-12,216.759995,220.330002,215.770004,219.000000,184.084732,1260900
2016-09-13,217.300003,218.779999,214.720001,214.750000,180.512283,1183800
2016-09-14,214.929993,216.369995,214.509995,215.100006,180.806488,812600
2016-09-15,214.710007,215.500000,213.490005,214.800003,180.554352,909400
2016-09-16,214.149994,216.119995,213.919998,214.960007,180.688843,1266500
2016-09-19,214.929993,216.649994,214.589996,216.070007,181.621841,1036600
2016-09-20,215.979996,218.100006,214.929993,216.839996,182.269089,850700
2016-09-21,216.610001,218.089996,212.690002,217.529999,182.849075,794900
2016-09-22,217.910004,222.660004,217.910004,221.800003,186.438324,886500
2016-09-23,219.850006,223.039993,218.110001,222.119995,186.707291,623800
2016-09-26,221.860001,224.789993,221.570007,223.949997,188.245544,600100
2016-09-27,225.000000,225.229996,222.679993,222.940002,187.396591,649100
2016-09-28,223.660004,226.110001,222.759995,225.830002,189.825790,1009000
2016-09-29,224.710007,227.149994,222.690002,224.990005,189.119720,1171400
2016-09-30,226.369995,227.770004,223.009995,223.139999,187.564682,1298900
2016-10-03,222.600006,222.600006,216.500000,216.559998,182.033722,742300
2016-10-04,218.910004,218.910004,211.399994,212.660004,178.755493,856400
2016-10-05,213.490005,214.850006,208.309998,208.889999,175.586578,985000
2016-10-06,209.520004,213.130005,207.059998,211.240005,177.561920,889100
2016-10-07,211.960007,214.660004,210.960007,212.050003,178.242783,713100
2016-10-10,211.960007,212.679993,211.020004,211.589996,177.856079,425000
2016-10-11,210.570007,211.699997,209.029999,209.720001,176.284225,526400
2016-10-12,210.389999,213.289993,209.410004,212.770004,178.847992,686100
2016-10-13,211.369995,215.100006,211.119995,214.229996,180.075180,546300
2016-10-14,214.740005,215.720001,213.229996,214.199997,180.050018,599100
2016-10-17,214.220001,215.669998,213.610001,215.110001,180.814896,541600
2016-10-18,215.679993,216.470001,213.679993,215.830002,181.420105,611400
2016-10-19,215.910004,215.910004,213.279999,215.190002,180.882141,671200
2016-10-20,215.570007,216.449997,212.850006,214.119995,179.982758,572900
2016-10-21,213.070007,214.279999,210.910004,211.050003,177.402206,847000
2016-10-24,210.679993,213.009995,209.740005,211.500000,177.780457,1020400
2016-10-25,210.029999,212.419998,209.759995,212.350006,178.494949,704900
2016-10-26,212.050003,213.750000,210.889999,213.279999,179.276688,782600
2016-10-27,210.119995,210.880005,200.649994,202.250000,170.005173,2070600
2016-10-28,203.690002,208.889999,203.690002,207.750000,174.628357,1185100
2016-10-31,209.089996,213.869995,208.000000,213.720001,179.646515,1183300
2016-11-01,213.259995,213.259995,205.000000,205.720001,172.921982,1332600
2016-11-02,206.259995,207.830002,205.130005,205.259995,172.535309,758500
2016-11-03,205.309998,205.309998,202.779999,203.759995,171.274429,811900
2016-11-04,204.009995,205.800003,202.300003,205.440002,172.686615,933400
2016-11-07,208.279999,211.860001,206.710007,211.729996,177.973785,610500
2016-11-08,211.990005,217.270004,210.910004,216.380005,181.882401,1059900
2016-11-09,210.630005,218.729996,206.649994,217.460007,182.790253,1517700
2016-11-10,217.529999,218.429993,211.259995,214.740005,180.503906,1786700
2016-11-11,215.289993,218.360001,213.429993,214.179993,180.033173,1218500
2016-11-14,213.940002,217.360001,208.600006,216.449997,181.941254,1111600
2016-11-15,216.770004,219.220001,211.339996,212.119995,178.301620,1097200
2016-11-16,211.880005,212.119995,206.809998,208.210007,175.014969,811600
2016-11-17,208.589996,209.029999,204.309998,204.610001,171.988907,578700
2016-11-18,204.550003,206.169998,201.699997,203.970001,171.450974,860000
2016-11-21,203.970001,205.990005,201.750000,201.929993,169.736206,771400
2016-11-22,203.289993,205.250000,200.720001,205.100006,172.400787,1231300
2016-11-23,204.589996,205.440002,202.880005,204.759995,172.114990,553800
2016-11-25,204.619995,208.339996,204.589996,205.729996,172.930374,324800
2016-11-28,206.029999,210.369995,206.029999,209.490005,176.090927,1060000
2016-11-29,210.070007,212.779999,207.619995,209.610001,176.191788,753900
2016-11-30,208.250000,211.850006,207.389999,209.300003,175.931244,1655300
2016-12-01,208.160004,210.770004,206.000000,207.860001,174.720795,1110400
2016-12-02,208.460007,214.869995,208.460007,209.479996,176.082520,1004100
2016-12-05,209.119995,212.880005,205.929993,212.449997,178.578995,1258500
2016-12-06,213.360001,215.910004,212.039993,214.710007,180.478683,1084800
2016-12-07,215.660004,221.619995,214.339996,221.009995,185.774277,1108900
2016-12-08,219.630005,221.750000,218.580002,221.059998,185.816284,1016500
2016-12-09,222.000000,224.399994,218.309998,219.130005,184.194016,894700
2016-12-12,217.449997,218.839996,215.339996,217.669998,184.652084,803700
2016-12-13,218.529999,218.750000,215.750000,218.380005,185.254410,864400
2016-12-14,218.759995,218.759995,214.520004,215.199997,182.556747,899800
2016-12-15,214.910004,219.500000,214.440002,216.289993,183.481415,1005900
2016-12-16,218.190002,221.119995,215.580002,218.729996,185.551315,1353700
2016-12-19,220.770004,222.639999,218.729996,220.369995,186.942551,804800
2016-12-20,220.270004,221.399994,216.449997,217.839996,184.796295,810400
2016-12-21,217.960007,219.229996,215.130005,215.130005,182.497360,923400
2016-12-22,215.009995,218.350006,213.970001,217.259995,184.304260,720200
2016-12-23,217.889999,219.690002,216.479996,218.720001,185.542801,467300
2016-12-27,218.720001,221.089996,217.610001,220.139999,186.747452,450200
2016-12-28,220.550003,220.550003,217.300003,218.279999,185.169571,489300
2016-12-29,218.470001,221.559998,216.789993,220.399994,186.967972,552000
2016-12-30,220.199997,223.820007,219.380005,223.500000,189.597748,891500
2017-01-03,224.669998,225.509995,221.949997,223.520004,189.614716,938100
2017-01-04,224.270004,225.899994,223.740005,225.160004,191.005936,723300
2017-01-05,222.759995,227.940002,219.809998,227.559998,193.041901,956600
2017-01-06,225.899994,228.779999,225.350006,228.350006,193.712067,697200
2017-01-09,228.350006,229.100006,226.100006,226.789993,192.388687,601700
2017-01-10,226.710007,227.429993,224.910004,225.300003,191.124741,1166900
2017-01-11,224.289993,224.300003,218.559998,219.759995,186.425064,1468200
2017-01-12,219.050003,219.800003,213.600006,217.300003,184.338226,1514200
2017-01-13,217.289993,217.289993,213.929993,214.119995,181.640594,997600
2017-01-17,214.720001,217.869995,214.589996,217.690002,184.669037,842200
2017-01-18,217.589996,218.050003,214.039993,215.600006,182.896072,1056000
2017-01-19,214.960007,216.039993,214.029999,215.330002,182.667053,601100
2017-01-20,215.399994,218.300003,213.660004,217.970001,184.906570,1040800
2017-01-23,218.000000,221.199997,217.889999,220.250000,186.840714,733800
2017-01-24,220.000000,222.960007,219.669998,222.389999,188.656128,798500
2017-01-25,222.240005,222.630005,218.559998,218.910004,185.704010,792000
2017-01-26,219.100006,221.119995,216.679993,218.250000,185.144104,516900
2017-01-27,218.570007,219.460007,215.279999,216.570007,183.718948,573200
2017-01-30,216.000000,217.300003,214.529999,214.990005,182.378616,508300
2017-01-31,215.300003,217.419998,214.240005,215.000000,182.387100,540100
2017-02-01,215.070007,216.500000,212.500000,213.289993,180.936462,675500
2017-02-02,213.190002,216.050003,213.190002,215.020004,182.404068,658900
