Date,Open,High,Low,Close,Adj Close,Volume
2016-08-30,137.270004,137.690002,136.240005,136.869995,126.692062,2026600
2016-08-31,136.550003,136.820007,135.550003,136.050003,125.933037,2837300
2016-09-01,136.820007,136.979996,135.350006,135.740005,125.646095,2765400
2016-09-02,136.500000,136.779999,135.759995,136.610001,126.451370,2390500
2016-09-06,136.619995,136.850006,135.630005,135.970001,125.858971,2242400
2016-09-07,135.000000,135.960007,134.199997,134.990005,125.528854,2816300
2016-09-08,134.470001,135.619995,134.410004,135.440002,125.947327,2826700
2016-09-09,134.710007,135.149994,133.619995,133.619995,124.254860,3322300
2016-09-12,132.710007,135.720001,132.389999,135.529999,126.030998,3457400
2016-09-13,134.240005,135.149994,133.369995,133.949997,124.561737,3331500
2016-09-14,133.869995,134.690002,132.979996,133.690002,124.319992,4592400
2016-09-15,133.029999,136.089996,132.880005,135.610001,126.105423,3302900
2016-09-16,135.610001,138.550003,135.529999,138.470001,128.764969,7421900
2016-09-19,138.679993,139.389999,137.520004,137.679993,128.030319,3239500
2016-09-20,138.130005,138.529999,137.059998,137.470001,127.835045,2425700
2016-09-21,138.199997,139.960007,137.990005,139.910004,130.104019,3506600
2016-09-22,140.490005,141.410004,140.330002,141.039993,131.154846,3018300
2016-09-23,141.020004,141.779999,140.360001,140.509995,130.661957,2802000
2016-09-26,139.949997,140.169998,138.899994,139.720001,129.927353,2636500
2016-09-27,139.990005,140.839996,138.690002,140.789993,130.922348,3048600
2016-09-28,141.130005,141.710007,139.660004,140.410004,130.568985,1990400
2016-09-29,140.179993,140.279999,137.839996,138.320007,128.625458,2201000
2016-09-30,139.179993,140.479996,138.419998,140.000000,130.187729,4164100
2016-10-03,139.350006,139.720001,138.029999,138.490005,128.783569,2724400
2016-10-04,138.690002,139.360001,137.160004,138.160004,128.476685,2452600
2016-10-05,138.210007,138.929993,136.600006,137.600006,127.955902,4625600
2016-10-06,137.309998,137.490005,135.660004,136.470001,126.905167,4025300
2016-10-07,137.210007,137.550003,135.979996,136.660004,127.081848,2568700
